,clean_word,weight
2, tuan,4.0
2678, tuan,-3.0
8,abai,4.0
2681,abai,-2.6666666666666665
12,absorpsi,3.0
2693,absorpsi,-3.0
15,acau,4.0
2699,acau,-4.0
17,adab,3.0
2703,adab,-3.0
23,adil,4.0
2709,adil,-4.0
35,agam,5.0
2717,agam,-3.0
2724,aib,-5.0
39,aib,1.0
2733,akhlak,-4.0
50,akhlak,4.0
2738,aku,-1.0
61,aku,2.0
2744,alami,-3.0
65,alami,3.0
68,alas,4.0
2745,alas,-4.0
69,album,3.0
2750,album,-2.0
81,amal,4.0
2763,amal,-4.0
83,ambil,3.0
2773,ambil,-5.0
2787,ampun,-2.0
93,ampun,1.0
94,amuk,1.0
2790,amuk,-4.0
2791,anak,-3.0
96,anak,3.0
107,aneh,4.0
2805,aneh,-4.0
2814,angkat,-4.0
115,angkat,3.0
116,angkut,1.0
2819,angkut,-5.0
118,angsur,1.0
2821,angsur,-3.0
121,anjung,4.0
2832,anjung,-3.0
2847,apas,-3.0
132,apas,5.0
2851,api,-3.0
134,api,4.0
2853,apit,-3.5
135,apit,4.0
137,arah,1.6666666666666667
2857,arah,-3.5
2870,asa,-2.0
148,asa,3.0
163,asuh,3.0
2887,asuh,-2.0
2891,atas,-4.0
164,atas,3.0
2902,awal,-3.0
171,awal,2.0
172,awas,4.0
2905,awas,-2.0
178,ayun,2.0
2912,ayun,-3.0
182,babar,3.0
2916,babar,-1.3333333333333333
2923,baca,-1.0
185,baca,3.5
187,bagai,3.0
2932,bagai,-3.0
2944,baik,-3.0
197,baik,3.0
199,bain,3.0
2945,bain,-2.0
203,bakar,1.0
2948,bakar,-4.0
208,bakti,4.0
2950,bakti,-3.0
211,balik akal,3.0
2960,balik akal,-4.0
2977,banding,-3.0
212,banding,3.0
2980,bandung,-1.0
213,bandung,3.0
2992,bangun,-4.5
220,bangun,3.0
2993,banjir,-3.0
221,banjir,4.0
224,banting,1.0
2999,banting,-4.0
229,banyol,3.0
3005,banyol,-3.0
234,bara,2.0
3008,bara,-4.0
3023,batas,-3.0
238,batas,3.0
3045,bayan,-4.0
243,bayan,3.0
3046,bayar,-3.0
247,bayar,2.0
248,beber,3.0
3054,beber,-4.0
254,bekas,4.0
3074,bekas,-3.0
3086,belenggu,-3.0
258,belenggu,3.0
3106,benci,-5.0
268,benci,4.0
3129,bentrok,-5.0
272,bentrok,5.0
3131,bentur,-3.6666666666666665
274,bentur,1.0
3209,besar,-2.0
294,besar,4.0
3226,biar,-3.0
306,biar,1.0
3236,bidas,-5.0
308,bidas,3.0
316,bimbing,3.0
3243,bimbing,-3.0
318,binasa,3.0
3244,binasa,-5.0
325,bisik,4.0
3252,bisik,-2.0
328,bisu,1.0
3254,bisu,-4.0
336,bopong,1.0
3296,bopong,-3.0
3336,bukti,-3.5
351,bukti,3.0
359,bungkus,4.0
3354,bungkus,-3.0
362,buru,1.6666666666666667
3366,buru,-3.6666666666666665
365,butuh,4.0
3373,butuh,-5.0
3414,cahaya,-3.0
368,cahaya,4.0
380,caplok,3.0
3437,caplok,-3.0
3445,cat,-3.0
386,cat,4.0
391,cebik,4.0
3449,cebik,-3.0
393,cedera,5.0
3456,cedera,-4.0
395,cegah,2.6666666666666665
3458,cegah,-5.0
3490,cemas,-3.3333333333333335
401,cemas,4.0
3497,cemerlang,-1.0
402,cemerlang,4.0
3507,cemplung,-5.0
404,cemplung,1.0
3517,cengkau,-4.0
410,cengkau,3.0
411,cengkeram,1.0
3520,cengkeram,-4.0
419,ceria,4.0
3535,ceria,-1.0
3541,cerna,-5.0
423,cerna,3.0
3557,cinta,-3.0
429,cinta,3.75
435,cium,3.0
3560,cium,-3.0
438,coba,2.0
3567,coba,-5.0
3569,cocok,-3.0
439,cocok,4.0
3593,coret,-3.0
448,coret,2.0
455,cukup,4.0
3609,cukup,-3.6666666666666665
3631,daif,-3.0
468,daif,4.0
3636,dakwa,-4.0
471,dakwa,3.0
3646,damping,-3.0
475,damping,1.0
3656,data,-3.0
484,data,3.0
3660,daulat,-4.0
487,daulat,4.0
3661,daya,-4.0
488,daya,3.0
3666,debar,-4.0
496,debar,2.0
3667,debat,-4.0
497,debat,3.0
3680,dekat,-4.0
