,clean_word,weight
0, allah,2.0
1, belakang,-5.0
2, hati,-2.0
3, kali,-3.0
4, kerja,-4.0
5, keruan,-3.0
6, masuk akal,-4.0
7, rasa,-2.0
8, sangat,-3.0
9, segan,2.0
10, tuan,1.0
11,aahh,-3.0
12,aamiin,2.0
13,ab,3.0
14,aba,2.0
15,abaaba,-3.0
16,abadi,4.0
17,abah,3.0
18,abai,1.3333333333333335
19,abar,-5.0
20,abarabar,-5.0
21,abdi,-3.0
22,abdi negara,-3.0
23,abg,-2.0
24,abi,2.0
25,abid,3.0
26,abis,1.0
27,abnormalitas,-4.0
28,abolisi,-3.0
29,abon,-4.0
30,aborsi,-3.0
31,absen,-3.0
32,abses,-4.0
33,absorpsi,0.0
34,absurd,3.0
35,abu,3.0
36,abuabu,-2.0
37,abuk,-3.0
38,abur,-5.0
39,acak,-4.5
40,acakacakan,-5.0
41,acau,0.0
42,aco,-5.0
43,acoacoan,-5.0
44,acu,-4.0
45,acuh tak acuh,4.0
46,adab,0.0
47,adakala,3.0
48,adam,-5.0
49,adang,-3.0
50,adaptasi,2.0
51,addict,-3.0
52,adegan,-4.0
53,adek,1.0
54,adi,2.0
55,adika,5.0
56,adiktif,-4.0
57,adil,0.0
58,adiluhung,3.0
59,adimarga,-4.0
60,administrator,3.0
61,adon,-4.0
62,adu,-3.5
63,adu lidah,-3.0
64,adu mulut,-4.0
65,aduh,1.0
66,aduhai,4.0
67,aduk,-3.25
68,adun,3.0
69,adzan,3.0
70,afair,3.0
71,afdal,3.0
72,afeksi,2.0
73,afiliasi,2.0
74,afirmasi,3.0
75,aga,-3.0
76,agam,2.0
77,agama,-3.0
78,agen,-3.0
79,agen rahasia,-3.0
80,agung,-4.0
81,ahad,3.0
82,ahli,3.0
83,ahli agama,1.0
84,ahli bahasa,-3.0
85,ahmak,-3.0
86,aib,-4.0
87,aiku,-5.0
88,ain,-5.0
89,air,-1.0
90,air liur,-2.0
91,aja,1.0
92,ajaib,-4.0
93,ajak,1.0
94,ajal,3.0
95,ajang,-3.0
96,ajar,2.5714285714285716
97,aji,4.0
98,ajojing,3.0
99,aju,-3.0
100,ajudan,4.0
101,ajuk,-5.0
102,akal,4.0
103,akar,3.0
104,akas,2.0
105,akhlak,0.0
106,akibat,2.0
107,akidah,3.5
108,akik,-3.0
109,akil,4.0
110,akomodasi,3.0
111,akrab,3.0
112,akreditasi,-3.0
113,aksa,-4.0
114,akses,2.0
115,aksi,2.0
116,aksioma,-3.0
117,aktif,2.0
118,aktivasi,2.0
119,aktual,4.0
120,aku,1.0
121,akuan,3.0
122,akumah,-3.0
123,akut,-5.0
124,alah,-4.0
125,alahan,-3.0
126,alaibelai,-3.0
127,alaikum,2.0
128,alam,2.6666666666666665
129,alami,0.0
130,alamiah,2.0
131,alangkah,4.0
132,alas,0.0
133,alat kelamin,-3.0
134,alat negara,-3.0
135,alat vital,-2.0
136,alay,-4.0
137,album,1.0
138,alem,4.0
139,alergi,-3.0
140,alhamdulilah,3.0
141,alhamdulillah,5.0
142,aliansi,1.0
143,alienasi,-3.0
144,alih,-4.0
145,alih bentuk,-3.0
146,alih generasi,4.0
147,alim,2.0
148,alim arif,4.0
149,alir darah,4.0
150,alir udara,-1.0
151,alkisah,-4.0
152,alku,-5.0
153,allah,5.0
154,alobar,-4.0
155,alone,-3.0
156,alot,1.0
157,alpa,-3.0
158,alun,3.0
159,alur,-4.0
160,amah,-5.0
161,amal,0.0
162,amanah,5.0
163,amandel,-5.0
164,amarah,-5.0
165,amatin,-2.0
166,ambai,-5.0
167,ambal,-4.0
168,ambang,-5.0
169,ambau,-5.0
170,ambigu,-3.0
171,ambiguitas,-5.0
172,ambil,-2.0
173,ambil contoh,4.0
174,ambil ibarat,4.0
175,ambisi,4.0
176,amblas,-3.0
177,ambles,-4.0
178,ambruk,-5.0
179,amburadul,-5.0
180,amerta,3.0
181,ametis,-4.0
182,ami,-3.0
183,amin,3.0
184,amit,-4.0
185,amor,2.0
186,amoral,-3.0
187,ampai,-4.0
188,ampas,3.0
189,ampas kopi,-2.0
190,ampel,-3.0
191,ampela,-5.0
192,amplop,3.0
193,ampu,-5.0
194,ampuh,4.0
195,ampun,-1.0
196,amput,-3.0
197,amtenar,-3.0
198,amuk,-3.0
199,ana,3.0
200,anak,0.0
201,anak adam,3.0
202,anak air,-4.0
203,anak bawang,-2.0
204,anak bedil,-3.0
205,anak bukit,-4.0
206,anak cucu,-3.0
207,anak didik,3.0
208,anak penak,-3.0
209,anak pinak,-3.0
210,anak sasian,3.0
211,anak sekolah,3.0
212,anakanakan,-3.0
213,analisis,4.0
214,analitis,-4.0
215,anarki,-4.0
216,ancai,-5.0
217,ancam,-4.0
218,andai,2.5
219,andal,5.0
220,andeka,-3.0
221,andil,4.0
222,andini,2.0
223,andur,3.0
224,aneh,0.0
225,aneka,3.0
226,anekdot,2.0
227,aneksasi,-5.0
228,angan,3.0
229,anganangan,4.0
230,anggai,-3.0
231,anggap,3.0
232,anggar,3.0
233,anggar lidah,-3.0
234,anggara,-4.0
235,anggota,-3.0
236,angguk,1.0
237,anggur,-4.0
238,angin lalu,-5.0
239,angit,-5.0
240,angkat,-1.0
241,angkat tangan,-5.0
242,angkat topi,-4.0
243,angkot,-1.0
244,angkup,-3.0
245,angkut,-4.0
246,anglo,-4.0
247,angpau,4.0
248,angsur,-2.0
249,aniaya,-4.0
250,animo,4.0
251,anjak,-3.0
252,anjay,-3.0
253,anjeng,-5.0
254,anjer,-3.0
255,anjg,-5.0
256,anjing,-4.0
257,anjing tanah,-5.0
258,anjir,1.0
259,anjis,-1.0
260,anjlok,-4.0
261,anjung,1.0
262,anjur,-2.3333333333333335
263,anom,-4.0
264,ansar,4.0
265,antagonisme,-4.0
266,antap,-5.0
267,antek,-3.0
268,antem,-4.0
269,anteng,4.0
270,anti,-2.0
271,antipati,2.0
272,antisipasi,3.0
273,antitesis,-3.0
274,antologi,1.0
275,antuk,-4.0
276,antun,-3.0
277,antusias,2.0
278,antusiasme,3.0
279,anugerah,3.0
280,anut,3.0
281,anyar,4.0
282,anyir,-4.0
283,apa,-3.0
284,aparat,-3.0
285,aparatus,-3.0
